date,close
2024-01-01,100.36887991041364
2024-01-02,99.33490207242866
2024-01-03,98.94332018597855
2024-01-04,98.36757027374463
2024-01-05,99.43946989794561
2024-01-06,99.00629965543713
2024-01-07,99.65758913459838
2024-01-08,102.12136301639762
2024-01-09,103.7302175409331
2024-01-10,103.2457374396566
2024-01-11,102.87846605325655
2024-01-12,103.50230419055819
2024-01-13,101.49188035195935
2024-01-14,100.50283934521818
2024-01-15,101.15760832619125
2024-01-16,101.06739994114315
2024-01-17,103.47499069829955
2024-01-18,102.76915551705524
2024-01-19,101.53982390745766
2024-01-20,100.51676844223172
2024-01-21,100.59401421641203
2024-01-22,100.46022858010288
2024-01-23,103.20925399890089
2024-01-24,102.77687032448117
2024-01-25,102.9056841486214
2024-01-26,104.05927557436365
2024-01-27,103.98687459183478
2024-01-28,104.74257672211478
2024-01-29,105.30178473151706
2024-01-30,106.42287599920736
2024-01-31,104.68876439740562
2024-02-01,105.76645073923534
2024-02-02,105.65440136621129
2024-02-03,105.95510890361545
2024-02-04,105.52706111067613
2024-02-05,107.69127178767472
2024-02-06,105.1104688127716
2024-02-07,106.93852946743907
2024-02-08,106.13134830864814
2024-02-09,108.14230616417592
2024-02-10,109.79197287496325
2024-02-11,111.19509915912428
2024-02-12,112.36682416466799
2024-02-13,115.49011763015629
2024-02-14,114.73487369679312
2024-02-15,114.0034119773458
2024-02-16,113.17452397780106
2024-02-17,114.49886806523499
2024-02-18,112.78253734586414
2024-02-19,114.21871044784085
2024-02-20,113.89189848550616
2024-02-21,112.50098720798431
2024-02-22,111.1137138228135
2024-02-23,110.11799214847919
2024-02-24,108.22038263942899
2024-02-25,108.9529854099782
2024-02-26,110.1320190927364
2024-02-27,111.465065999762
2024-02-28,110.69397200875702
2024-02-29,111.16942167500072
2024-03-01,111.24306788381023
2024-03-02,112.23295129588888
2024-03-03,112.8994293830637
2024-03-04,113.08947913313206
2024-03-05,110.63542445416641
2024-03-06,110.48064986246426
2024-03-07,110.69393471934235
2024-03-08,109.83746566776271
2024-03-09,109.54858140337429
