ticker,last_price,last_price_timestamp,avg_daily_volume,marketcap,price_provenance,last_news,news_count_24h,fetched_at,combined_score,momentum_score,fundamental_score,sentiment_score,sector,rank_combined_score,rank_momentum_score,rank_fundamental_score,rank_sentiment_score,final_score,rank
KO,72.94999694824219,2025-11-21T00:00:00-05:00,15412720,313952501760,yfinance,"[{'headline': '', 'source': 'Yahoo Finance', 'url': '', 'datetime': 1763928887, 'summary': ''}, {'headline': '', 'source': 'Yahoo Finance', 'url': '', 'datetime': 1763928887, 'summary': ''}, {'headline': '', 'source': 'Yahoo Finance', 'url': '', 'datetime': 1763928887, 'summary': ''}]",10,2025-11-23T15:15:09.118021,0.771676714115101,0.9985225638970662,0.8234598246511544,0.7813977543708508,Industrial,0.631578947368421,1.0,0.8596491228070176,0.9298245614035088,0.8175438596491227,1
JPM,298.0199890136719,2025-11-21T00:00:00-05:00,8191670,819481608192,yfinance,"[{'headline': '', 'source': 'Yahoo Finance', 'url': '', 'datetime': 1763928871, 'summary': ''}, {'headline': '', 'source': 'Yahoo Finance', 'url': '', 'datetime': 1763928871, 'summary': ''}, {'headline': '', 'source': 'Yahoo Finance', 'url': '', 'datetime': 1763928871, 'summary': ''}]",10,2025-11-23T15:15:09.117333,0.9014808054671803,0.8107685505939248,0.7575064800450908,0.45863070944382656,Finance,0.9473684210526315,0.7192982456140351,0.7543859649122807,0.40350877192982454,0.7859649122807019,2
HON,190.02000427246094,2025-11-21T00:00:00-05:00,4120050,128048726016,yfinance,"[{'headline': '', 'source': 'Yahoo Finance', 'url': '', 'datetime': 1763928906, 'summary': ''}, {'headline': '', 'source': 'Yahoo Finance', 'url': '', 'datetime': 1763928906, 'summary': ''}, {'headline': '', 'source': 'Yahoo Finance', 'url': '', 'datetime': 1763928906, 'summary': ''}]",10,2025-11-23T15:15:09.118790,0.9214945644706223,0.9255117642269164,0.7013866669777684,0.23429916374448986,Industrial,0.9649122807017544,0.8421052631578947,0.7017543859649122,0.03508771929824561,0.7824561403508772,3
COP,87.37000274658203,2025-11-21T00:00:00-05:00,6794810,109120094208,yfinance,"[{'headline': '', 'source': 'Yahoo Finance', 'url': '', 'datetime': 1763928876, 'summary': ''}, {'headline': '', 'source': 'Yahoo Finance', 'url': '', 'datetime': 1763928876, 'summary': ''}, {'headline': '', 'source': 'Yahoo Finance', 'url': '', 'datetime': 1763928876, 'summary': ''}]",10,2025-11-23T15:15:09.117550,0.7924479970007854,0.9657458286010326,0.8272331266939106,0.4035815632369779,Energy,0.7368421052631579,0.9122807017543859,0.8947368421052632,0.2807017543859649,0.775438596491228,4
NVDA,178.8800048828125,2025-11-21T00:00:00-05:00,224837820,4362446307328,yfinance,"[{'headline': '', 'source': 'Yahoo Finance', 'url': '', 'datetime': 1763928866, 'summary': ''}, {'headline': '', 'source': 'Yahoo Finance', 'url': '', 'datetime': 1763928866, 'summary': ''}, {'headline': '', 'source': 'Yahoo Finance', 'url': '', 'datetime': 1763928866, 'summary': ''}]",10,2025-11-23T15:15:09.117146,0.7877420593060477,0.8374760787702096,0.8475767036068924,0.5426258559951708,Technology,0.7017543859649122,0.7543859649122807,0.9298245614035088,0.5964912280701754,0.7526315789473684,5
BA,179.6999969482422,2025-11-21T00:00:00-05:00,8490320,136589156352,yfinance,"[{'headline': '', 'source': 'Yahoo Finance', 'url': '', 'datetime': 1763928877, 'summary': ''}, {'headline': '', 'source': 'Yahoo Finance', 'url': '', 'datetime': 1763928877, 'summary': ''}, {'headline': '', 'source': 'Yahoo Finance', 'url': '', 'datetime': 1763928877, 'summary': ''}]",10,2025-11-23T15:15:09.117574,0.7452236662714475,0.9258205758836013,0.7989993176167077,0.7170035218116748,Industrial,0.5614035087719298,0.8596491228070176,0.8070175438596491,0.8421052631578947,0.7280701754385965,6
MA,540.4000244140625,2025-11-21T00:00:00-05:00,2609480,488528019456,yfinance,"[{'headline': '', 'source': 'Yahoo Finance', 'url': '', 'datetime': 1763928884, 'summary': ''}, {'headline': '', 'source': 'Yahoo Finance', 'url': '', 'datetime': 1763928884, 'summary': ''}, {'headline': '', 'source': 'Yahoo Finance', 'url': '', 'datetime': 1763928884, 'summary': ''}]",10,2025-11-23T15:15:09.117901,0.9307458824930515,0.5576449651137612,0.7595006575841927,0.7168094628570985,Industrial,0.9824561403508771,0.24561403508771928,0.7719298245614035,0.8245614035087719,0.7035087719298246,7
ACN,251.85000610351562,2025-11-21T00:00:00-05:00,3428460,156865445888,yfinance,"[{'headline': '', 'source': 'Yahoo Finance', 'url': '', 'datetime': 1763928894, 'summary': ''}, {'headline': '', 'source': 'Yahoo Finance', 'url': '', 'datetime': 1763928894, 'summary': ''}, {'headline': '', 'source': 'Yahoo Finance', 'url': '', 'datetime': 1763928894, 'summary': ''}]",10,2025-11-23T15:15:09.118314,0.8732320989138477,0.6532959800798104,0.897089613996537,0.23518123998330737,Industrial,0.8947368421052632,0.43859649122807015,1.0,0.05263157894736842,0.6947368421052631,8
DE,487.239990234375,2025-11-21T00:00:00-05:00,1237260,131715301376,yfinance,"[{'headline': '', 'source': 'Yahoo Finance', 'url': '', 'datetime': 1763928879, 'summary': ''}, {'headline': '', 'source': 'Yahoo Finance', 'url': '', 'datetime': 1763928879, 'summary': ''}, {'headline': '', 'source': 'Yahoo Finance', 'url': '', 'datetime': 1763928879, 'summary': ''}]",10,2025-11-23T15:15:09.117644,0.8642437055050219,0.6373791406363986,0.8268057595224243,0.46916812869987917,Industrial,0.8771929824561403,0.40350877192982454,0.8771929824561403,0.43859649122807015,0.6912280701754386,9
PEP,146.3300018310547,2025-11-21T00:00:00-05:00,7357910,200337080320,yfinance,"[{'headline': '', 'source': 'Yahoo Finance', 'url': '', 'datetime': 1763928888, 'summary': ''}, {'headline': '', 'source': 'Yahoo Finance', 'url': '', 'datetime': 1763928888, 'summary': ''}, {'headline': '', 'source': 'Yahoo Finance', 'url': '', 'datetime': 1763928888, 'summary': ''}]",10,2025-11-23T15:15:09.118045,0.863207722973471,0.7057157762058788,0.5538827641205322,0.7558201898048766,Industrial,0.8596491228070176,0.5263157894736842,0.45614035087719296,0.8771929824561403,0.680701754385965,10
